iter	Passed	Remaining
0	1	125
1	2	120
2	3	115
3	4	106
4	5	105
5	6	104
6	7	103
7	8	102
8	10	102
9	11	101
10	12	100
11	13	99
12	14	98
13	15	96
14	16	95
15	17	94
16	19	93
17	20	91
18	21	90
19	22	89
20	23	88
21	24	87
22	25	85
23	26	84
24	27	83
25	29	82
26	30	81
27	31	80
28	32	79
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	72
35	39	71
36	41	70
37	42	69
38	43	68
39	45	67
40	46	66
41	46	64
42	48	63
43	49	62
44	50	61
45	51	60
46	52	59
47	54	58
48	55	57
49	56	56
50	57	55
51	59	54
52	60	53
53	61	52
54	62	51
55	63	50
56	64	49
57	66	47
58	67	46
59	68	45
60	69	44
61	71	43
62	72	42
63	73	41
64	75	40
65	76	39
66	77	38
67	78	37
68	80	35
69	81	34
70	82	33
71	83	32
72	85	31
73	86	30
74	87	29
75	88	28
76	90	26
77	91	25
78	92	24
79	93	23
80	95	22
81	96	21
82	97	20
83	99	18
84	100	17
85	101	16
86	102	15
87	104	14
88	105	13
89	106	11
90	108	10
91	109	9
92	110	8
93	112	7
94	113	5
95	114	4
96	115	3
97	117	2
98	118	1
99	119	0
