iter	Passed	Remaining
0	135	135447
1	139	69621
2	144	48130
3	148	37031
4	153	30452
5	159	26350
6	163	23144
7	165	20580
8	168	18589
9	171	16956
10	173	15590
11	175	14455
12	177	13446
13	178	12591
14	180	11851
15	181	11185
16	183	10598
17	184	10069
18	186	9610
19	187	9186
20	188	8795
21	189	8434
22	190	8108
23	192	7813
24	193	7537
25	194	7278
26	195	7037
27	196	6813
28	197	6605
29	198	6410
30	199	6228
31	200	6057
32	201	5892
33	202	5741
34	203	5597
35	203	5461
36	205	5336
37	206	5217
38	207	5103
39	208	4996
40	209	4892
41	210	4795
42	211	4704
43	212	4614
44	213	4528
45	214	4447
46	215	4368
47	216	4294
48	217	4222
49	218	4150
50	219	4079
51	220	4012
52	220	3947
53	221	3885
54	222	3824
55	223	3766
56	224	3712
57	225	3659
58	226	3610
59	227	3561
60	228	3515
61	229	3470
62	230	3425
63	231	3384
64	232	3344
65	233	3303
66	234	3263
67	235	3225
68	236	3187
69	237	3152
70	238	3116
71	239	3082
72	240	3048
73	241	3016
74	242	2986
75	243	2956
76	244	2928
77	245	2900
78	246	2871
79	247	2843
80	248	2816
81	249	2789
82	249	2759
83	250	2733
84	251	2709
85	252	2685
86	253	2661
87	254	2639
88	255	2616
89	256	2595
90	257	2572
91	258	2553
92	259	2535
93	260	2514
94	261	2494
95	262	2474
96	263	2455
97	264	2437
98	265	2418
99	266	2401
100	267	2383
101	268	2364
102	269	2347
103	270	2330
104	271	2314
105	272	2298
106	273	2282
107	274	2266
108	275	2250
109	276	2234
110	276	2218
111	277	2203
112	280	2202
113	281	2187
114	282	2173
115	283	2159
116	284	2143
117	285	2130
118	285	2116
119	287	2104
120	288	2092
121	288	2079
122	290	2069
123	291	2057
124	292	2045
125	293	2033
126	293	2020
127	294	2008
128	295	1997
129	296	1985
130	297	1974
131	298	1963
132	299	1952
133	300	1942
134	301	1931
135	302	1921
136	303	1912
137	304	1904
138	305	1894
139	306	1883
140	307	1873
141	308	1862
142	309	1852
143	310	1843
144	310	1833
145	311	1824
146	312	1816
147	313	1807
148	314	1798
149	315	1790
150	316	1782
151	318	1774
152	319	1767
153	320	1759
154	321	1751
155	322	1743
156	323	1735
157	324	1727
158	325	1720
159	326	1712
160	326	1703
161	327	1696
162	328	1688
163	329	1681
164	330	1674
165	331	1667
166	332	1660
167	334	1654
168	335	1648
169	336	1640
170	337	1634
171	338	1627
172	339	1620
173	340	1614
174	341	1607
175	342	1601
176	342	1594
177	343	1588
178	344	1581
179	345	1575
180	346	1569
181	347	1563
182	349	1559
183	350	1554
184	351	1548
185	352	1542
186	353	1537
187	354	1531
188	355	1526
189	356	1521
190	357	1516
191	358	1510
192	360	1505
193	361	1501
194	362	1496
195	363	1491
196	364	1486
197	365	1480
198	366	1474
199	367	1468
200	367	1462
201	368	1457
202	369	1452
203	370	1446
204	371	1442
205	372	1437
206	373	1432
207	374	1427
208	375	1422
209	376	1417
210	377	1412
211	379	1411
212	380	1407
213	382	1403
214	382	1397
215	383	1393
216	384	1388
217	385	1383
218	386	1378
219	387	1374
220	388	1370
221	389	1365
222	390	1361
223	391	1356
224	392	1352
225	393	1349
226	394	1345
227	395	1340
228	396	1336
229	398	1332
230	399	1328
231	399	1324
232	400	1319
233	401	1315
234	402	1311
235	403	1307
236	404	1302
237	405	1298
238	406	1294
239	407	1290
240	408	1287
241	409	1283
242	411	1280
243	412	1277
244	413	1273
245	414	1269
246	415	1265
247	416	1261
248	417	1257
249	417	1253
250	418	1250
251	419	1246
252	420	1242
253	421	1238
254	422	1235
255	424	1232
256	425	1229
257	426	1225
258	426	1221
259	427	1218
260	429	1214
261	429	1211
262	430	1207
263	431	1203
264	432	1200
265	433	1196
266	434	1193
267	435	1189
268	436	1186
269	437	1183
270	438	1179
271	439	1176
272	440	1173
273	441	1169
274	442	1166
275	443	1162
276	444	1159
277	444	1155
278	445	1152
279	446	1148
280	447	1145
281	448	1142
282	449	1139
283	450	1135
284	451	1132
285	452	1130
286	453	1127
287	454	1124
288	455	1121
289	456	1118
290	457	1115
291	458	1112
292	459	1109
293	460	1106
294	461	1103
295	462	1100
296	463	1097
297	464	1095
298	465	1091
299	466	1088
300	467	1085
301	468	1082
302	469	1080
303	470	1077
304	471	1074
305	472	1071
306	473	1069
307	474	1066
308	475	1063
309	476	1060
310	477	1058
311	478	1055
312	479	1052
313	480	1049
314	481	1046
315	482	1044
316	483	1042
317	484	1039
318	485	1037
319	486	1034
320	487	1031
321	488	1028
322	489	1026
323	490	1023
324	491	1020
325	492	1018
326	493	1015
327	494	1012
328	495	1010
329	496	1007
330	497	1004
331	499	1004
332	500	1002
333	501	999
334	502	997
335	503	994
336	504	992
337	505	989
338	506	987
339	507	984
340	508	982
341	509	979
342	510	977
343	511	974
344	512	972
345	513	970
346	514	968
347	515	965
348	516	963
349	517	960
350	518	958
351	519	955
352	520	953
353	521	950
354	522	948
355	523	946
356	524	943
357	525	941
358	526	939
359	526	936
360	527	934
361	528	932
362	530	930
363	530	927
364	531	925
365	532	923
366	533	920
367	534	918
368	535	916
369	536	913
370	537	911
371	538	909
372	539	907
373	540	904
374	541	902
375	542	900
376	543	898
377	544	896
378	545	894
379	546	891
380	547	889
381	548	887
382	549	885
383	550	883
384	551	881
385	552	879
386	553	876
387	554	874
388	555	872
389	556	870
390	557	868
391	558	866
392	559	864
393	560	862
394	562	860
395	563	858
396	563	856
397	564	854
398	565	852
399	566	850
400	567	847
401	568	845
402	569	843
403	570	841
404	571	839
405	572	837
406	573	835
407	574	833
408	575	831
409	576	829
410	577	827
411	578	825
412	579	823
413	580	821
414	580	818
415	581	816
416	582	814
417	583	812
418	584	810
419	585	808
420	586	806
421	587	804
422	588	802
423	589	800
424	590	798
425	591	797
426	592	795
427	593	792
428	594	790
429	595	788
430	596	787
431	597	785
432	597	783
433	598	781
434	599	779
435	600	776
436	601	775
437	602	773
438	603	771
439	604	769
440	605	768
441	606	766
442	607	764
443	608	762
444	609	760
445	610	758
446	611	756
447	612	754
448	613	752
449	614	750
450	615	748
451	616	746
452	616	744
453	618	743
454	619	741
455	620	740
456	621	738
457	622	736
458	623	734
459	624	733
460	625	731
461	626	729
462	627	727
463	628	725
464	629	723
465	629	721
466	630	720
467	631	718
468	632	716
469	634	715
470	635	713
471	636	711
472	636	709
473	637	707
474	638	705
475	639	704
476	640	702
477	641	700
478	642	698
479	643	696
480	644	695
481	645	693
482	646	691
483	647	689
484	648	688
485	649	686
486	650	685
487	651	683
488	652	681
489	653	680
490	654	678
491	655	676
492	656	675
493	657	673
494	658	671
495	659	669
496	660	668
497	660	666
498	661	664
499	662	662
500	664	661
501	665	659
502	666	658
503	666	656
504	667	654
505	668	652
506	669	651
507	670	649
508	671	647
509	672	646
510	673	644
511	674	642
512	675	641
513	676	639
514	677	637
515	678	636
516	679	634
517	680	632
518	681	631
519	682	629
520	683	628
521	684	626
522	685	624
523	685	623
524	686	621
525	687	619
526	688	618
527	689	616
528	690	614
529	691	613
530	692	611
531	693	610
532	694	608
533	695	607
534	696	605
535	697	603
536	698	602
537	699	600
538	700	599
539	701	597
540	702	595
541	703	594
542	704	592
543	705	591
544	706	589
545	706	587
546	708	586
547	709	584
548	710	583
549	711	581
550	712	580
551	713	578
552	713	577
553	714	575
554	715	573
555	716	572
556	717	570
557	718	569
558	719	567
559	720	566
560	721	564
561	722	562
562	723	561
563	724	559
564	725	558
565	726	556
566	727	555
567	728	553
568	729	552
569	730	550
570	731	549
571	731	547
572	732	546
573	733	544
574	734	543
575	735	541
576	736	539
577	737	538
578	738	537
579	739	535
580	740	534
581	741	532
582	742	531
583	743	529
584	744	528
585	745	526
586	746	525
587	747	523
588	748	522
589	749	520
590	750	519
591	750	517
592	751	516
593	752	514
594	754	513
595	755	512
596	756	510
597	757	509
598	758	507
599	759	506
600	760	504
601	760	503
602	761	501
603	762	500
604	763	498
605	764	497
606	765	495
607	766	494
608	767	492
609	768	491
610	769	490
611	771	488
612	772	487
613	773	485
614	774	484
615	775	483
616	775	481
617	776	480
